epoch,accuracy,loss,val_accuracy,val_loss
0,0.8180999755859375,0.38656702637672424,0.8614000082015991,0.3127458393573761
1,0.9523500204086304,0.13476631045341492,0.8374999761581421,0.428618848323822
2,0.9955000281333923,0.018009208142757416,0.8446999788284302,0.6335234642028809
3,0.9998250007629395,0.001997448271140456,0.8446999788284302,0.7297957539558411
4,1.0,0.00027690641582012177,0.8472999930381775,0.7744474411010742
